book,chapter,chapter_rom,verse,text
Ps,11,XI,4,disperdat Dominus uniuersa labia dolosa et linguam maliloquam
Ps,11,XI,5,qui dixerunt linguam nostram magnificabimus labia nostra a nobis sunt quis noster est dominus
Ps,11,XI,6,propter miseriam inopum et gemitum pauperum nunc exsurgam dicit Dominus ponam super salutare meum fiducialiter agam in eo
Ps,11,XI,7,eloquia Domini eloquia casta argentum igne examinatum terrae purgatum septuplum
Ps,11,XI,8,tu Domine seruabis nos et custodies nos a generatione hac in aeternum
Ps,11,XI,9,in circuitu impii ambulant secundum altitudinem tuam multiplicasti filios hominum.
Ps,12,XII,1,IN FINEM PSALMVS DAVID Vsquequo Domine obliuisceris me in finem quousque auertis faciem tuam a me
Ps,12,XII,2,quamdiu ponam consilium in animam meam dolorem in corde meo per diem
Ps,12,XII,3,usquequo exaltabitur inimicus meus super me
Ps,12,XII,4,respice et exaudi me Domine Deus meus inlumina oculos meos ne umquam obdormiam in mortem
Ps,12,XII,5,nequando dicat inimicus meus praeualui aduersus eum qui tribulant me exultabunt si motus fuero
Ps,12,XII,6,ego autem in tua misericordia sperabo exultabit cor meum in salutari tuo cantabo Domino qui bona tribuit mihi et psallam nomini tuo Altissime.
Ps,13,XIII,1,IN FINEM PSALMVS DAVID Dixit insipiens in corde suo non est Deus corrupti sunt et abominabiles facti sunt in uoluntatibus suis non est qui faciat bonum non est usque ad unum
Ps,13,XIII,2,Dominus de caelo prospexit super filios hominum ut uideat si est intellegens aut requirens Deum
Ps,13,XIII,3,omnes declinauerunt simul inutiles facti sunt non est qui faciat bonum non est usque ad unum sepulchrum patens est guttur eorum linguis suis dolose agebant uenenum aspidum sub labiis eorum quorum os maledictione et amaritudine plenum est ueloces pedes eorum ad effundendum sanguinem contritio et infelicitas in uiis eorum et uiam pacis non cognouerunt non est timor Dei ante oculos eorum
Ps,13,XIII,4,ponne cognoscent omnes qui operantur iniquitatem qui deuorant plebem meam sicut escam panis
Ps,13,XIII,5,Deum non inuocauerunt illic trepidauerunt timore ubi non erat timor
Ps,13,XIII,6,quoniam Deus in generatione iusta est consilium inopis confudisti quoniam Deus spes eius est
Ps,13,XIII,7,quis dabit ex Sion salutare Israhel dum auertit Dominus captiuitatem plebis suae laetetur lacob et exultet Israhel.
Ps,14,XIV,1,PSALMVS DAVID Domine quis habitabit in tabernaculo tuo aut quis requiescet in monte sancto tuo
Ps,14,XIV,2,qui ingreditur sine macula et operatur iustitiam
Ps,14,XIV,3,qui loquitur ueritatem in corde suo et non egit dolum in lingua sua nec fecit proximo suo malum et obprobrium non accepit aduersus proximum suum
Ps,14,XIV,4,ad nihilum deductus est in conspectu eius malignus timentes autem Dominum magnificat qui iurat proximo suo et non decipit eum
Ps,14,XIV,5,qui pecuniam suam non dedit ad usuram et munera super innocentem non accepit qui facit haec non commouebitur in aeternum.
Ps,15,XV,1,TITVLI INSCRIPTIO IPSI DAVID Conserua me Domine quoniam in te speraui
Ps,15,XV,2,dixi Domino Deus meus es tu quoniam bonorum meorum non indiges
Ps,15,XV,3,sancti qui in terra sunt eius mirificauit omnes uoluntates meas inter illos
Ps,15,XV,4,multiplicatae sunt enim infirmitates eorum postea adcelerauerunt non congregabo conuenticula eorum de sanguinibus nec memor ero nominum illorum per labia mea
